"T";"S";"S2"
3.000000000000e+02;0.000000000000e+00;2.446373303163e+25
4.000000000000e+02;0.000000000000e+00;1.834775308040e+25
5.000000000000e+02;5.906812500000e+05;1.467816649317e+25
6.000000000000e+02;2.658035968000e+09;1.223178581131e+25
7.000000000000e+02;1.069561872384e+12;1.048437647375e+25
8.000000000000e+02;9.518285901005e+13;9.173822352891e+24
9.000000000000e+02;3.098749379281e+15;8.154503698081e+24
1.000000000000e+03;4.991786226077e+16;7.339049811862e+24
1.100000000000e+03;4.822099970952e+17;6.671860478214e+24
1.200000000000e+03;3.175153735773e+18;6.115867541382e+24
1.300000000000e+03;1.557229412375e+19;5.645406392212e+24
1.400000000000e+03;6.060351082041e+19;5.242113296979e+24
1.500000000000e+03;1.960448407807e+20;4.892497344697e+24
1.600000000000e+03;5.457949332001e+20;4.586358062353e+24
1.700000000000e+03;1.342943431797e+21;4.315740579797e+24
1.800000000000e+03;2.981265296779e+21;4.074262611809e+24
1.900000000000e+03;6.068897735457e+21;3.856582096598e+24
2.000000000000e+03;1.147609283666e+22;3.658041231284e+24
2.100000000000e+03;2.036812829353e+22;3.474413982094e+24
2.200000000000e+03;3.421416162111e+22;3.301713834693e+24
2.300000000000e+03;5.476317249007e+22;3.136124330673e+24
2.400000000000e+03;8.397796472603e+22;2.973951797761e+24
2.500000000000e+03;1.239199484684e+23;2.811696830962e+24
2.600000000000e+03;1.765776566075e+23;2.646126926607e+24
2.700000000000e+03;2.436411369610e+23;2.474519172333e+24
2.800000000000e+03;3.262260212287e+23;2.294855379044e+24
2.900000000000e+03;4.245724953859e+23;2.106129478615e+24
3.000000000000e+03;5.377523135062e+23;1.908593672623e+24
