"";"Temperature (K)";"Pressure (MPa)";"Volume (m3/kg)";"Density (kg/m3)";"mol_mass (g/mol)";"Entropy (kJ/kg/K)";"Enthalpy (kJ/kg)";"Internal energy (kJ/kg)";"Cp(fr) (kJ/kg/K)";"Cv(fr) (kJ/kg/K)";"gamma(fr)";"Sound speed(fr) (m/s)";"Cp(eq) (kJ/kg/K)";"Cv(eq) (kJ/kg/K)";"gamma(eq)";"Sound speed(eq) (m/s)";"Energy Input (J/mol) ";"Energy Input (eV/molecule)";"Energy Input (kJ/kg)";"Flow rate (kg/h)"
3.000000000000e+02;3.000000000000e+02;1.013250000000e-02;8.787541942464e+00;1.137974653831e-01;2.801339832228e+01;7.525805160274e+00;1.923213091130e+00;-8.711734265985e+01;1.039502437727e+00;7.427012462273e-01;1.399623930897e+00;3.530198508616e+02;1.039502437729e+00;7.427005833859e-01;1.399625182655e+00;3.530188416715e+02;1.666684509636e-04;1.727383521443e-09;5.949597323696e-06;1.007852674681e+02
3.200000000000e+02;3.200000000000e+02;1.013250000000e-02;9.373379462432e+00;1.066851079707e-01;2.801339657647e+01;7.592856335973e+00;2.270174737082e+01;-7.227484543023e+01;1.038526796038e+00;7.417255860422e-01;1.400149618109e+00;3.646658090166e+02;1.038526795971e+00;7.417249232007e-01;1.400150872062e+00;3.646647824429e+02;5.820775633851e+02;6.032762561721e-03;2.077854022928e+01;1.007852674681e+02
3.400000000000e+02;3.400000000000e+02;1.013250000000e-02;9.959216939018e+00;1.004095006789e-01;2.801339503682e+01;7.655811413004e+00;4.347054646532e+01;-5.744208338580e+01;1.038493003354e+00;7.416917770453e-01;1.400167880371e+00;3.758913738528e+02;1.038493003217e+00;7.416911142038e-01;1.400169134478e+00;3.758903291484e+02;1.163882244463e+03;1.206269691932e-02;4.154733932378e+01;1.007852674681e+02
3.600000000000e+02;3.600000000000e+02;1.013250000000e-02;1.054505438063e+01;9.483118473405e-02;2.801339366771e+01;7.715187228477e+00;6.424648323454e+01;-4.260218366664e+01;1.039213860930e+00;7.424126201152e-01;1.399779358234e+00;3.867353748243e+02;1.039213860723e+00;7.424119572737e-01;1.399780610860e+00;3.867343114820e+02;1.745886876079e+03;1.809470360232e-02;6.232327609301e+01;1.007852674681e+02
3.800000000000e+02;3.800000000000e+02;1.013250000000e-02;1.113089181975e+01;8.984006099366e-02;2.801339244123e+01;7.771407913591e+00;8.504318046959e+01;-2.774152348166e+01;1.040548806436e+00;7.437475526267e-01;1.399061822470e+00;3.972309846485e+02;1.040548806160e+00;7.437468897851e-01;1.399063072294e+00;3.972299027996e+02;2.328473078934e+03;2.413273780023e-02;8.311997332806e+01;1.007852674681e+02
4.000000000000e+02;4.000000000000e+02;1.013250000000e-02;1.171673099337e+01;8.534803782433e-02;2.801339133525e+01;7.824826000767e+00;1.058717982041e+02;-1.284894279721e+01;1.042390286585e+00;7.455890210580e-01;1.398076228518e+00;4.074068207220e+02;1.042390286239e+00;7.455883582164e-01;1.398077474465e+00;4.074057507009e+02;2.911953483515e+03;3.018003967488e-02;1.039485910626e+02;1.007852674681e+02
4.200000000000e+02;4.200000000000e+02;1.013250000000e-02;1.230256994917e+01;8.128382964952e-02;2.801339033194e+01;7.875737652803e+00;1.267415960796e+02;2.084818028205e+00;1.044654558879e+00;7.478532827221e-01;1.396870994637e+00;4.172877896736e+02;1.044654558463e+00;7.478526198805e-01;1.396872235833e+00;4.172867264853e+02;3.496587483866e+03;3.623929763548e-02;1.248183889381e+02;1.007852674681e+02
4.400000000000e+02;4.400000000000e+02;1.013250000000e-02;1.288840873237e+01;7.758909736375e-02;2.801338941684e+01;7.924394249065e+00;1.476603423383e+02;1.706752723683e+01;1.047275350540e+00;7.504740646877e-01;1.395485067130e+00;4.268957430301e+02;1.047275350054e+00;7.504734018461e-01;1.395486302857e+00;4.268946828340e+02;4.082592694865e+03;4.231276708401e-02;1.457371351967e+02;1.007852674681e+02
4.600000000000e+02;4.600000000000e+02;1.013250000000e-02;1.347420738479e+01;7.421586824681e-02;2.801338857804e+01;7.971010100047e+00;1.686346161223e+02;3.210576397078e+01;1.050199403576e+00;7.533981088370e-01;1.393950145691e+00;4.362499922061e+02;1.050199403021e+00;7.533974459954e-01;1.393951375363e+00;4.362482846081e+02;4.670153420655e+03;4.840235818364e-02;1.667114089808e+02;1.007852674681e+02
4.800000000000e+02;4.800000000000e+02;1.013250000000e-02;1.406004476808e+01;7.112352887169e-02;2.801338780570e+01;8.015772631685e+00;1.896700341980e+02;4.720514499642e+01;1.053383291028e+00;7.565819881060e-01;1.392292319389e+00;4.453677174346e+02;1.053383290402e+00;7.565813252644e-01;1.392293542528e+00;4.453660033010e+02;5.259427005959e+03;5.450970168501e-02;1.877468270565e+02;1.007852674681e+02
