 'T[K]'  'P[atm]'  'H[MJ/kg]'   'Cpef[kJ/kg/K]'  'Visc[Pa*s]'  'Leff[W/m/K]'  'Sigma[1/Ohm/m]'  'Mass[g/mol]' 
    3.000000e+02    1.000000e+00
    3.230000e+04    1.000000e+00
    2.000000e+01    0.000000e+00
    300         1    0.00192321           1.0395   1.83694e-05      0.0268971                 0        28.0134 
    320         1     0.0227017          1.03852   1.91935e-05      0.0281483                 0        28.0134 
    340         1     0.0434704          1.03849   2.00505e-05       0.029464                 0        28.0134 
    360         1     0.0642463          1.03921   2.09491e-05      0.0308723                 0        28.0134 
    380         1     0.0850429          1.04055   2.18578e-05      0.0323173                 0        28.0134 
    400         1      0.105871          1.04239    2.2641e-05      0.0335936                 0        28.0134 
    420         1      0.126741          1.04465    2.3374e-05      0.0348127                 0        28.0134 
    440         1       0.14766          1.04727   2.41017e-05       0.036033                 0        28.0134 
    460         1      0.168634           1.0502     2.488e-05      0.0373458                 0        28.0134 
    480         1      0.189669          1.05338   2.56637e-05      0.0386866                 0        28.0134 
    500         1      0.210771          1.05679   2.64789e-05      0.0400948                 0        28.0134 
    520         1      0.231942          1.06039   2.71866e-05      0.0413531                 0        28.0134 
    540         1      0.253187          1.06416   2.78618e-05      0.0425742                 0        28.0134 
    560         1       0.27451          1.06808   2.85141e-05      0.0437706                 0        28.0134 
    580         1      0.295911          1.07212   2.91661e-05      0.0449733                 0        28.0134 
    600         1      0.317395          1.07627   2.98372e-05       0.046218                 0        28.0134 
    620         1      0.338963          1.08052   3.05245e-05      0.0474987                 0        28.0134 
    640         1      0.360616          1.08485   3.12118e-05      0.0487718                 0        28.0134 
    660         1      0.382357          1.08926   3.19504e-05      0.0501351                 0        28.0134 
    680         1      0.404187          1.09372    3.2586e-05       0.051346                 0        28.0134 
    700         1      0.426106          1.09823   3.32028e-05      0.0525312                 0        28.0134 
    720         1      0.448116          1.10277   3.38016e-05      0.0536954                 0        28.0134 
    740         1      0.470218          1.10735   3.43857e-05      0.0548424                 0        28.0134 
    760         1      0.492411          1.11195   3.49778e-05      0.0560031                 0        28.0134 
    780         1      0.514696          1.11657   3.55583e-05      0.0571497                 0        28.0134 
    800         1      0.537073          1.12119   3.61612e-05      0.0583445                 0        28.0134 
    820         1      0.559543          1.12581   3.67714e-05      0.0595552                 0        28.0134 
    840         1      0.582106          1.13042   3.73823e-05      0.0607786                 0        28.0134 
    860         1       0.60476          1.13501   3.79878e-05      0.0620053                 0        28.0134 
    880         1      0.627506          1.13959   3.86562e-05      0.0633555                 0        28.0134 
    900         1      0.650343          1.14413   3.92233e-05      0.0645347                 0        28.0134 
    920         1      0.673271          1.14864   3.97796e-05      0.0657014                 0        28.0134 
    940         1      0.696289          1.15311   4.03253e-05      0.0668542                 0        28.0134 
    960         1      0.719395          1.15753   4.08607e-05       0.067993                 0        28.0134 
    980         1       0.74259           1.1619   4.13861e-05      0.0691175                 0        28.0134 
   1000         1      0.765871          1.16622   4.19185e-05      0.0702516                 0        28.0134 
   1020         1      0.789238          1.17046   4.24511e-05      0.0713845                 0        28.0134 
   1040         1      0.812689          1.17464    4.2975e-05      0.0725035                 0        28.0134 
   1060         1      0.836223          1.17874   4.35069e-05      0.0736429                 0        28.0134 
   1080         1      0.859838          1.18276   4.40576e-05      0.0748132                 0        28.0134 
   1100         1      0.883533           1.1867   4.46016e-05      0.0759719                 0        28.0134 
   1120         1      0.907305          1.19054   4.51469e-05      0.0771374                 0        28.0134 
   1140         1      0.931154          1.19428    4.5689e-05      0.0782984                 0        28.0134 
   1160         1      0.955076          1.19792   4.63181e-05      0.0796284                 0        28.0134 
   1180         1       0.97907          1.20145   4.68313e-05      0.0807434                 0        28.0134 
   1200         1       1.00313          1.20487   4.73379e-05      0.0818442                 0        28.0134 
   1220         1       1.02726          1.20816    4.7838e-05      0.0829301                 0        28.0134 
   1240         1       1.05146          1.21134   4.83316e-05      0.0840012                 0        28.0134 
   1260         1       1.07572          1.21441   4.88191e-05      0.0850577                 0        28.0134 
   1280         1       1.10003          1.21737   4.93004e-05         0.0861                 0        28.0134 
   1300         1       1.12441          1.22023   4.97757e-05      0.0871283                 0        28.0134 
   1320         1       1.14884          1.22299   5.02531e-05      0.0881548                 0        28.0134 
   1340         1       1.17333          1.22567   5.07362e-05       0.089185                 0        28.0134 
   1360         1       1.19787          1.22826   5.12169e-05      0.0902068                 0        28.0134 
   1380         1       1.22246          1.23077   5.17411e-05      0.0912804                 0        28.0134 
   1400         1        1.2471           1.2332    5.2228e-05       0.092316                 0        28.0134 
   1420         1       1.27179          1.23557   5.27124e-05      0.0933454                 0        28.0134 
   1440         1       1.29652          1.23786   5.31943e-05      0.0943685                 0        28.0134 
   1460         1        1.3213          1.24009   5.36738e-05      0.0953856                 0        28.0134 
   1480         1       1.34612          1.24225    5.4151e-05      0.0963968                 0        28.0134 
   1500         1       1.37099          1.24436   5.46258e-05      0.0974024                 0        28.0134 
   1520         1        1.3959           1.2464   5.50984e-05      0.0984024                 0        28.0134 
   1540         1       1.42085           1.2484   5.55688e-05      0.0993971                 0        28.0134 
   1560         1       1.44583          1.25034    5.6037e-05       0.100386                 0        28.0134 
   1580         1       1.47086          1.25223    5.6503e-05       0.101371                 0        28.0134 
   1600         1       1.49592          1.25407    5.6967e-05        0.10235                 0        28.0134 
   1620         1       1.52102          1.25587   5.74288e-05       0.103324                 0        28.0134 
   1640         1       1.54616          1.25762   5.78887e-05       0.104294                 0        28.0134 
   1660         1       1.57133          1.25933   5.83466e-05       0.105258                 0        28.0134 
   1680         1       1.59653            1.261   5.88025e-05       0.106219                 0        28.0134 
   1700         1       1.62177          1.26264   5.92565e-05       0.107174                 0        28.0134 
   1720         1       1.64704          1.26423   5.97086e-05       0.108125                 0        28.0134 
   1740         1       1.67234          1.26579   6.01589e-05       0.109072                 0        28.0134 
   1760         1       1.69767          1.26731   6.06073e-05       0.110015                 0        28.0134 
   1780         1       1.72303           1.2688   6.10539e-05       0.110953                 0        28.0134 
   1800         1       1.74842          1.27025   6.14988e-05       0.111888                 0        28.0134 
   1820         1       1.77384          1.27168   6.19419e-05       0.112818                 0        28.0134 
   1840         1       1.79928          1.27307   6.23833e-05       0.113744                 0        28.0134 
   1860         1       1.82476          1.27443    6.2823e-05       0.114667                 0        28.0134 
   1880         1       1.85026          1.27577   6.32611e-05       0.115585                 0        28.0134 
   1900         1       1.87579          1.27708   6.36975e-05         0.1165                 0        28.0134 
   1920         1       1.90134          1.27836   6.41324e-05       0.117411                 0        28.0134 
   1940         1       1.92692          1.27961   6.45656e-05       0.118319                 0        28.0134 
   1960         1       1.95253          1.28084   6.49973e-05       0.119223                 0        28.0134 
   1980         1       1.97816          1.28205   6.54274e-05       0.120123                 0        28.0134 
   2000         1       2.00381          1.28323    6.5856e-05        0.12102                 0        28.0134 
   2020         1       2.02949          1.28439   6.62831e-05       0.121914                 0        28.0134 
   2040         1       2.05519          1.28553   6.67088e-05       0.122804                 0        28.0134 
   2060         1       2.08091          1.28664   6.71329e-05       0.123691                 0        28.0134 
   2080         1       2.10665          1.28774   6.75557e-05       0.124574                 0        28.0134 
   2100         1       2.13242          1.28881    6.7977e-05       0.125455                 0        28.0134 
   2120         1        2.1582          1.28987    6.8397e-05       0.126332                 0        28.0134 
   2140         1       2.18401           1.2909   6.88155e-05       0.127206                 0        28.0134 
   2160         1       2.20984          1.29192   6.92327e-05       0.128077                 0        28.0134 
   2180         1       2.23569          1.29291   6.96486e-05       0.128944                 0        28.0134 
   2200         1       2.26156          1.29389   7.00631e-05       0.129809                 0        28.0134 
   2220         1       2.28744          1.29486   7.04763e-05       0.130671                 0        28.0134 
   2240         1       2.31335           1.2958   7.08882e-05        0.13153                 0        28.0134 
   2260         1       2.33928          1.29673   7.12989e-05       0.132386                 0        28.0134 
   2280         1       2.36522          1.29764   7.17083e-05       0.133239                 0        28.0134 
   2300         1       2.39118          1.29854   7.21164e-05        0.13409                 0        28.0134 
   2320         1       2.41716          1.29942   7.25234e-05       0.134937                 0        28.0134 
   2340         1       2.44316          1.30029   7.29291e-05       0.135782                 0        28.0134 
   2360         1       2.46917          1.30114   7.33336e-05       0.136625                 0        28.0134 
   2380         1        2.4952          1.30198   7.37369e-05       0.137464                 0        28.0134 
   2400         1       2.52125           1.3028   7.41391e-05       0.138301                 0        28.0134 
   2420         1       2.54732          1.30361     7.454e-05       0.139136                 0        28.0134 
   2440         1        2.5734          1.30441   7.49399e-05       0.139968                 0        28.0134 
   2460         1       2.59949           1.3052   7.53386e-05       0.140797                 0        28.0134 
   2480         1        2.6256          1.30597   7.57362e-05       0.141625                 0        28.0134 
   2500         1       2.65173          1.30674   7.61327e-05       0.142449                 0        28.0134 
   2520         1       2.67787          1.30749   7.65281e-05       0.143272                 0        28.0134 
   2540         1       2.70403          1.30823   7.69224e-05       0.144092                 0        28.0134 
   2560         1        2.7302          1.30896   7.73157e-05       0.144911                 0        28.0134 
   2580         1       2.75639          1.30968   7.77079e-05       0.145727                 0        28.0134 
   2600         1       2.78259          1.31039    7.8099e-05       0.146541                 0        28.0134 
   2620         1        2.8088          1.31109   7.84891e-05       0.147353                 0        28.0134 
   2640         1       2.83503          1.31179   7.88782e-05       0.148163                 0        28.0134 
